transaction_id,amount,failure_reason,payment_method,customer_type,attempts,previous_success_rate,previous_failed_payments,customer_tenure_months,hours_since_failure,recovered
TXN00001,10676,network_error,credit_card,loyal,2,0.47,1,48,14,0
TXN00002,14817,technical_error,credit_card,loyal,2,0.32,0,14,30,1
TXN00003,634,technical_error,debit_card,loyal,3,0.78,3,15,58,1
TXN00004,13461,network_error,debit_card,loyal,2,0.53,1,14,44,1
TXN00005,6424,network_error,upi,regular,3,0.48,0,47,59,0
TXN00006,6401,network_error,upi,loyal,3,0.9,2,37,25,1
TXN00007,950,insufficient_funds,upi,new,1,0.89,3,18,59,0
TXN00008,6177,insufficient_funds,upi,regular,1,0.76,5,60,10,0
TXN00009,3003,technical_error,debit_card,new,2,0.56,5,45,72,1
TXN00010,5513,network_error,debit_card,new,2,0.57,0,14,41,1
TXN00011,8379,card_expired,net_banking,new,2,0.39,5,36,69,0
TXN00012,9777,card_expired,net_banking,regular,1,0.98,1,33,64,1
TXN00013,971,network_error,debit_card,loyal,1,0.84,3,39,9,1
TXN00014,9963,card_expired,upi,loyal,1,0.76,0,44,69,0
TXN00015,12792,bank_decline,credit_card,regular,2,0.41,0,47,34,0
TXN00016,12683,insufficient_funds,credit_card,loyal,2,0.87,4,39,26,1
TXN00017,12692,insufficient_funds,credit_card,loyal,2,0.63,0,60,47,0
TXN00018,13826,bank_decline,debit_card,new,1,0.9,0,6,63,0
TXN00019,12661,technical_error,debit_card,new,3,0.62,4,11,34,0
TXN00020,10138,card_expired,debit_card,loyal,3,0.77,5,20,52,0
TXN00021,10847,bank_decline,net_banking,loyal,2,0.38,1,5,44,1
TXN00022,9275,insufficient_funds,debit_card,new,1,0.78,0,15,9,0
TXN00023,14284,bank_decline,credit_card,loyal,1,0.49,3,14,70,1
TXN00024,14656,technical_error,net_banking,new,2,0.85,1,7,13,0
TXN00025,6004,card_expired,net_banking,regular,3,0.34,5,42,13,0
TXN00026,12131,bank_decline,credit_card,new,1,0.43,3,9,55,0
TXN00027,7779,insufficient_funds,credit_card,regular,3,0.37,5,35,2,0
TXN00028,12546,insufficient_funds,debit_card,regular,2,0.63,6,26,8,0
TXN00029,235,card_expired,upi,regular,2,0.59,5,51,72,0
TXN00030,8173,insufficient_funds,debit_card,regular,1,0.96,4,48,70,1
TXN00031,5338,network_error,credit_card,loyal,2,0.64,6,34,21,1
TXN00032,8520,network_error,debit_card,new,3,0.35,6,16,52,1
TXN00033,14786,technical_error,debit_card,loyal,3,0.33,0,27,67,1
TXN00034,4472,insufficient_funds,upi,new,2,0.57,5,42,39,0
TXN00035,12518,network_error,credit_card,regular,3,0.98,0,5,69,1
TXN00036,4545,insufficient_funds,upi,new,1,0.55,1,29,70,0
TXN00037,10221,technical_error,credit_card,loyal,3,0.5,5,7,18,1
TXN00038,14777,network_error,debit_card,regular,2,0.71,5,22,27,0
TXN00039,14174,bank_decline,net_banking,regular,1,0.36,3,54,36,1
TXN00040,5664,insufficient_funds,upi,new,3,0.6,5,28,72,1
TXN00041,1432,insufficient_funds,credit_card,regular,3,0.68,3,9,6,0
TXN00042,14928,network_error,upi,new,3,0.47,0,23,72,0
